"horse_name","percentage"
"ハービンジャー","0.5"
"Dansili","0.25"
"デインヒル","0.125"
"Danzig","0.0625"
"Northern Dancer","0.1484375"
"Pas de Nom","0.03125"
"Razyana","0.0625"
"His Majesty","0.03125"
"Spring Adieu","0.03125"
"Hasili","0.125"
"Kahyasi","0.0625"
"イルドブルボン","0.03125"
"Kadissya","0.03125"
"Kerali","0.0625"
"High Line","0.03125"
"Sookera","0.03125"
"Penang Pearl","0.25"
"Bering","0.125"
"Arctic Tern","0.0625"
"Sea-Bird","0.03125"
"Bubbling Beauty","0.03125"
"Beaune","0.0625"
"Lyphard","0.03125"
"Barbra","0.03125"
"Guapa","0.125"
"Shareef Dancer","0.0625"
"Sweet Alliance","0.03125"
"Sauceboat","0.0625"
"Connaught","0.03125"
"Cranberry Sauce","0.03125"
"エイグレット","0.5"
"サンデーサイレンス","0.25"
"Halo","0.125"
"Hail to Reason","0.0703125"
"Turn-to","0.0390625"
"Nothirdchance","0.03515625"
"Cosmah","0.0625"
"Cosmic Bomb","0.03125"
"Almahmoud","0.123046875"
"Wishing Well","0.125"
"Understanding","0.0625"
"Promised Land","0.03125"
"Pretty Ways","0.03125"
"Mountain Flower","0.0625"
"Montparnasse","0.03125"
"Edelweiss","0.03125"
"ノーザンプリンセス","0.25"
"ノーザンテースト","0.125"
"Nearctic","0.13671875"
"Natalma","0.15234375"
"Lady Victoria","0.0625"
"Victoria Park","0.03125"
"Lady Angela","0.099609375"
"ウイルプリンセス","0.125"
"サンプリンス","0.0625"
"Princely Gift","0.03125"
"Costa Sola","0.03125"
"エール","0.0625"
"フォルティノ","0.03125"
"ガーネツト","0.03125"
"Nearco","0.0869140625"
"Pharos","0.0478515625"
"Phalaris","0.041015625"
"Polymelus","0.0185546875"
"Bromus","0.015625"
"Scapa Flow","0.025390625"
"Chaucer","0.0341796875"
"Anchora","0.0107421875"
"Nogara","0.041015625"
"Havresac","0.01953125"
"Rabelais","0.0166015625"
"Hors Concours","0.0087890625"
"Catnip","0.0185546875"
"Spearmint","0.0224609375"
"Sibola","0.0087890625"
"Hyperion","0.0810546875"
"Gainsborough","0.0595703125"
"Bayardo","0.0244140625"
"Rosedrop","0.0244140625"
"Selene","0.0517578125"
"Serenissima","0.0244140625"
"Sister Sarah","0.0517578125"
"Abbots Trace","0.025390625"
"Tracery","0.0166015625"
"Abbots Anne","0.01171875"
"Sarita","0.025390625"
"Swynford","0.0263671875"
"Molly Desmond","0.01171875"
"Native Dancer","0.083984375"
"Polynesian","0.0419921875"
"Unbreakable","0.0205078125"
"Sickle","0.013671875"
"Blue Glass","0.009765625"
"Black Polly","0.0205078125"
"Polymelian","0.009765625"
"Black Queen","0.009765625"
"Geisha","0.0419921875"
"Discovery","0.0244140625"
"Display","0.01171875"
