日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/12/04,5中山1,晴,11,ステイヤーズS(G2),,13,8,12,17.4,8,5,鮫島克駿,56,芝3600,良,**,3:48.1,0.5,**,7-7-4-4,39.9-35.3,35.5,490(-6),, ,ディバインフォース,620.0
2021/11/07,5東京2,晴,11,アルゼンチン共和国杯(G2),,15,6,11,49.8,11,14,鮫島克駿,54,芝2500,良,**,2:33.8,1.4,**,3-3-3-3,30.9-34.1,35.3,496(-2),, ,オーソリティ, 
2021/09/05,2札幌8,晴,11,丹頂S(OP),,10,5,5,3.0,2,3,ルメール,54,芝2600,良,**,2:44.5,0.2,**,6-5-6-5,38.3-36.2,35.6,498(-4),, ,カウディーリョ,603.3
2021/08/07,1函館11,晴,11,札幌日経OP(L),,15,2,2,13.4,6,4,鮫島克駿,56,芝2600,良,**,2:40.5,0.7,**,5-5-5-5,36.4-36.7,37.0,502(+6),, ,ディアスティマ,390.0
2021/05/02,2阪神12,晴,11,天皇賞(春)(G1),,17,5,10,142.1,14,12,鮫島克駿,58,芝3200,良,**,3:17.5,2.8,**,9-10-10-14,35.8-37.4,38.9,496(0),, ,ワールドプレミア, 
2021/03/21,1阪神12,曇,11,阪神大賞典(G2),,13,8,13,34.7,8,中,鮫島克駿,56,芝3000,重,**, , ,**,8-8-12-13,37.3-37.4, ,496(-4),, ,ディープボンド, 
2021/01/05,1中京1,曇,10,万葉S(OP),,14,5,7,6.3,4,5,鮫島克駿,54,芝3000,良,**,3:04.5,0.6,**,11-12-12-9,36.2-35.7,35.6,500(+2),, ,ナムラドノヴァン,240.0
2020/11/22,5阪神6,曇,10,西宮S(3勝クラス),,16,1,2,34.6,8,1,鮫島克駿,54,芝2400,良,**,2:25.9,-0.1,**,5-5-6-5,37.4-34.6,34.3,498(-4),, ,(セントレオナード),"1,853.6"
2020/08/22,2札幌3,晴,11,札幌日刊スポーツ杯(2勝クラス),,9,5,5,3.8,2,1,ルメール,55,芝2600,良,**,2:40.0,-0.1,**,4-4-3-2,36.6-36.7,36.4,502(+12),, ,(トロピカルストーム),"1,519.6"
2020/08/01,1札幌3,晴,10,阿寒湖特別(2勝クラス),,10,7,8,8.8,4,2,岩田康誠,57,芝2600,良,**,2:40.3,0.2,**,6-6-5-5,37.0-36.4,36.1,490(-4),, ,アンティシペイト,606.2
2020/07/12,2函館4,曇,10,横津岳特別(2勝クラス),,13,2,2,13.4,6,7,坂井瑠星,57,芝2600,良,**,2:43.4,0.7,**,3-3-7-6,37.2-35.7,35.6,494(-16),,,シンボ, 
2020/03/15,1阪神6,小雨,9,淡路特別(2勝クラス),,11,6,6,3.8,3,7,松山弘平,55,芝2600,稍,**,2:40.9,1.6,**,5-6-6-6,34.8-36.1,37.2,510(+4),, ,ツーエムアロンソ, 
2020/01/25,1京都8,曇,9,睦月賞(2勝クラス),,10,7,7,3.2,2,5,フォーリ,55,芝2400,稍,**,2:29.7,1.3,**,3-3-3-3,35.0-36.1,37.2,506(+4),, ,ヴィッセン,150.0
2019/12/21,5阪神7,曇,7,3歳以上1勝クラス,,16,5,10,3.2,1,1,スミヨン,55,芝2600,良,**,2:38.9,-0.7,**,4-4-4-3,36.8-34.6,34.2,502(+4),, ,(レオビヨンド),750.0
2019/11/10,5京都4,晴,7,3歳以上1勝クラス,,11,5,5,6.3,2,2,マーフィ,55,芝2400,良,**,2:27.8,0.4,**,6-6-6-5,35.9-35.0,35.0,498(+8),, ,ショウリュウイクゾ,300.0
2019/08/24,2小倉9,曇,4,3歳未勝利,,18,1,2,5.0,3,1,松山弘平,56,芝2000,良,**,2:00.7,-0.5,**,2-2-2-2,35.2-36.2,35.9,490(+8),, ,(ローザンヌ),500.0
2019/08/10,2小倉5,晴,7,3歳未勝利,,18,6,12,5.1,1,5,松山弘平,56,芝2000,良,**,2:01.3,0.5,**,7-8-10-8,35.2-37.0,36.9,482(-10),, ,シーリアスラブ,50.0
2019/07/13,3中京5,小雨,7,3歳未勝利,,17,1,1,30.2,8,3,鮫島克駿,56,芝2200,稍,**,2:19.2,0.0,**,3-3-5-4,37.4-34.3,34.0,492(0),, ,ボンベール,130.0
2019/06/29,3中京1,曇,7,3歳未勝利,,13,3,3,10.5,5,8,松山弘平,56,芝2200,稍,**,2:17.7,1.1,**,9-9-10-10,36.1-35.0,35.0,492(-26),,,シャイニングデイズ, 
2019/01/14,1京都5,晴,6,3歳新馬,,15,8,15,70.9,9,15,秋山真一,56,芝1600,良,**,1:43.7,7.1,**,15-15,35.6-36.5,37.6,518(0),,,ゲバラ, 
