キングズベスト,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,Allegretta,Lombard,Agio,Tantieme
,,,,Aralia
,,,Promised Lady,Prince Chevalier
,,,,Belle Sauvage
,,Anatevka,Espresso,Acropolis
,,,,Babylon
,,,Almyra,Birkhahn
,,,,Alameda
ディアアレトゥーサ,トーセンダンス,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ダンシングキイ,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Key Partner,Key to the Mint
,,,,Native Partner
,ディアウィンク,タイトスポット,His Majesty,Ribot
,,,,Flower Bowl
,,,Premium Win,Lyphard
,,,,Classic Perfection
,,セイレイ,デインヒル,Danzig
,,,,Razyana
,,,センスオブリズム,Cure the Blues
,,,,Sensibility
