キンシャサノキセキ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ケルトシャーン,Pleasant Colony,His Majesty,Ribot
,,,,Flower Bowl
,,,Sun Colony,Sunrise Flight
,,,,Colonia
,,Featherhill,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Berry,Violon d'Ingres
,,,,Moss Rose
クルザダアメリカーナ,Nedawi,Rainbow Quest,Blushing Groom,Red God
,,,,Runaway Bride
,,,I Will Follow,Herbager
,,,,Where You Lead
,,ワジド,Northern Dancer,Nearctic
,,,,Natalma
,,,Dahlia,Vaguely Noble
,,,,Charming Alibi
,Spring Princess,Itajara,Felicio,Shantung
,,,,Fighting Edie
,,,Apple Honey,Falkland
,,,,Irish Song
,,Fairy Fay,Karabas,Worden
,,,,Fair Share
,,,Pale Hands,Pall Mall
,,,,Dream Girl
