グラスワンダー,Silver Hawk,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Gris Vitesse,Amerigo,Nearco
,,,,Sanlinea
,,,Matchiche,Mat de Cocagne
,,,,Chimere Fabuleuse
,Ameriflora,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Graceful Touch,His Majesty,Ribot
,,,,Flower Bowl
,,,Pi Phi Gal,Raise a Native
,,,,Soaring
レッドクレオパトラ,タヤスツヨシ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,マガロ,Caro,フォルティノ
,,,,Chambord
,,,Magic,Buckpasser
,,,,Aspidistra
,キョウエイルナ,ナイスダンサー,Northern Dancer,Nearctic
,,,,Natalma
,,,Nice Princess,Le Beau Prince
,,,,Happy Night
,,キヨウエイウォーク,ネヴァービート,Never Say Die
,,,,Bride Elect
,,,サイドウォーク,タカウォーク
,,,,Path Dancer
