グランプリボス,サクラバクシンオー,サクラユタカオー,テスコボーイ,Princely Gift
,,,,Suncourt
,,,アンジェリカ,ネヴァービート
,,,,スターハイネス
,,サクラハゴロモ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,クリアアンバー,Ambiopoise
,,,,One Clear Call
,ロージーミスト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ビューティフルベーシック,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Nervous Pillow,Nervous Energy
,,,,Fathers Pillow
カクテルフォンテン,ルールオブロー,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Crystal Crossing,ロイヤルアカデミーII,Nijinsky
,,,,Crimson Saint
,,,Never So Fair,Never So Bold
,,,,Favoletta
,カクテルガール,アドマイヤコジーン,Cozzene,Caro
,,,,Ride the Trails
,,,アドマイヤマカディ,ノーザンテースト
,,,,ミセスマカディー
,,イーグルマドンナ,クリスタルグリッターズ,Blushing Groom
,,,,Tales to Tell
,,,マリキータ,テュデナム
,,,,ミスクラリー
