ストロングリターン,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,コートアウト,Smart Strike,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Classy'n Smart,Smarten
,,,,No Class
,,アザール,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Smart Heiress,Vaguely Noble
,,,,Smartaire
ダンスフェイム,ファルブラヴ,Fairy King,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Gift of the Night,Slewpy,Seattle Slew
,,,,Rare Bouquet
,,,Little Nana,Lithiot
,,,,Nenana Road
,ダンスオールナイト,エルコンドルパサー,Kingmambo,Mr. Prospector
,,,,Miesque
,,,サドラーズギャル,Sadler's Wells
,,,,Glenveagh
,,ダンスパートナー,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ダンシングキイ,Nijinsky
,,,,Key Partner
