トーセンホマレボシ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,エヴリウィスパー,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,クラフテイワイフ,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Wife Mistress,Secretariat
,,,,Political Payoff
オリヅル,クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,ブルーアヴェニュー,Classic Go Go,Pago Pago
,,,,Classic Perfection
,,,Eliza Blue,Icecapade
,,,,コレラ
,オリガミ,シャンハイ,Procida,Mr. Prospector
,,,,With Distinction
,,,Korveya,Riverman
,,,,Konafa
,,ラプソディスター,アスワン,ノーザンテースト
,,,,リリーオブザナイル
,,,キョクトウルンルン,ハンターコム
,,,,キョクトウメルド
