アンライバルド,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,バレークイーン,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Sun Princess,イングリッシュプリンス,Petingo
,,,,English Miss
,,,Sunny Valley,Val de Loir
,,,,Sunland
ドリームスター,カリズマティック,Summer Squall,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Bali Babe,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Polynesian Charm,What a Pleasure
,,,,Grass Shack
,トロピカルメイク,リアルシャダイ,Roberto,Hail to Reason
,,,,Bramalea
,,,Desert Vixen,In Reality
,,,,Desert Trial
,,トロピカルダイナ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,シヤパネーズ,スノッブ
,,,,ラシアマード
