スマートファルコン,ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ニキーヤ,Nureyev,Northern Dancer
,,,,Special
,,,Reluctant Guest,Hostage
,,,,Vaguely Royal
,ケイシュウハーブ,ミシシッピアン,Vaguely Noble,ヴィエナ
,,,,Noble Lassie
,,,Gazala,Dark Star
,,,,Belle Angevine
,,キョウエイシラユキ,クラウンドプリンス,Raise a Native
,,,,Gay Hostess
,,,アリアーン,シルバーシャーク
,,,,Nucciolina
イナズマチーター,カリズマティック,Summer Squall,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Bali Babe,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Polynesian Charm,What a Pleasure
,,,,Grass Shack
,スエヒロジョウオー,トウショウペガサス,ダンディルート,Luthier
,,,,Dentrelic
,,,ソシアルトウショウ,ヴェンチア
,,,,ソシアルバターフライ
,,イセスズカ,マルゼンスキー,Nijinsky
,,,,シル
,,,サリュウエイシヨン,インファチュエイション
,,,,ミスヤマナカ
