ブラックタイド,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
レイズユアグラス,アジュディケーティング,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Resolver,Reviewer,Bold Ruler
,,,,Broadway
,,,Lovely Morning,Swaps
,,,,Misty Morn
,レイズアプランサー,Raise a Native,Native Dancer,Polynesian
,,,,Geisha
,,,Raise You,Case Ace
,,,,Lady Glory
,,Dancing Hostess,Sword Dancer,Sunglow
,,,,Highland Fling
,,,Your Hostess,Alibhai
,,,,Boudoir
