ディープブリランテ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,ラヴアンドバブルズ,Loup Sauvage,Riverman,Never Bend
,,,,River Lady
,,,Louveterie,Nureyev
,,,,Lupe
,,バブルドリーム,Akarad,Labus
,,,,Licata
,,,バブルプロスペクター,Miswaki
,,,,バブルカンパニー
キョウエイラハイナ,エンパイアメーカー,Unbridled,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Gana Facil,Le Fabuleux
,,,,Charedi
,,Toussaud,El Gran Senor,Northern Dancer
,,,,Sex Appeal
,,,Image of Reality,In Reality
,,,,Edee's Image
,アヴェニューズレディ,Avenue of Flags,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Beautiful Glass,Pass the Glass
,,,,Beautiful Spirit
,,Lady Sauce Boat,Sauce Boat,Key to the Mint
,,,,Missy Baba
,,,Lady Barbizon,Barbizon
,,,,Cancelada
