アサクサキングス,ホワイトマズル,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,Fair of the Furze,Ela-Mana-Mou,ピットカーン
,,,,Rose Bertin
,,,Autocratic,Tyrant
,,,,Flight Table
,クルーピアスター,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,クルーピアレディー,What Luck,Bold Ruler
,,,,Irish Jay
,,,Question d'Argent,Tentam
,,,,Cold Reply
クラビッグレディ,ブラックタイアフェアー,Miswaki,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Hopespringseternal,Buckpasser
,,,,Rose Bower
,,Hat Tab Girl,Al Hattab,The Axe
,,,,Abyssinia
,,,Desperate Action,Bold Commander
,,,,Crafty Alice
,クラシャトル,ワカオライデン,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,オキワカ,リマンド
,,,,ワカクモ
,,クラネバダンサー,ネヴァーダンス,Never Bend
,,,,Exclusive Dancer
,,,ブラックキリー,テッソ
,,,,マツリュウ
