フェノーメノ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,ディラローシェ,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Sea Port,Averof,Sing Sing
,,,,Argentina
,,,Anchor,Major Portion
,,,,Ripeck
クラウンフォルテ,ハービンジャー,Dansili,デインヒル,Danzig
,,,,Razyana
,,,Hasili,Kahyasi
,,,,Kerali
,,Penang Pearl,Bering,Arctic Tern
,,,,Beaune
,,,Guapa,Shareef Dancer
,,,,Sauceboat
,ピンクリップス,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,マリスターII,Baldski,Nijinsky
,,,,Too Bald
,,,Pink Dove,Argument
,,,,Perfect Pigeon
