クラグオー,クラキングオー,スズカコバン,マルゼンスキー,Nijinsky
,,,,シル
,,,サリュウコバン,ネヴァービート
,,,,モンテホープ
,,クラファストレディ,シングルロマン,ナイスダンサー
,,,,ヒジリジョオー
,,,カネイゼーア,オンワードゼア
,,,,クヰーンカヌート
,クラシャトル,ワカオライデン,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,オキワカ,リマンド
,,,,ワカクモ
,,クラネバダンサー,ネヴァーダンス,Never Bend
,,,,Exclusive Dancer
,,,ブラックキリー,テッソ
,,,,マツリュウ
ポンデュガール,フォーティナイナー,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,File,Tom Rolfe,Ribot
,,,,Pocahontas
,,,Continue,Double Jay
,,,,Courtesy
,ミヤシロオーバン,アスワン,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,リリーオブザナイル,Never Bend
,,,,Nile Lily
,,タニノオーバン,オーバン,Sicambre
,,,,Hygie
,,,タニノチエリ,ティエポロ
,,,,シーマン
