アスカクリチャン,スターリングローズ,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,コマーズ,Danzig,Northern Dancer
,,,,Pas de Nom
,,,ミドルマーチ,Buckpasser
,,,,Nice Princess
,ローレルワルツ,ダイナレター,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,トゥザレター,Arts and Letters
,,,,Queen of Capri
,,スワンスキー,マルゼンスキー,Nijinsky
,,,,シル
,,,リビーザリブラ,Delta Judge
,,,,French to Boot
アスカトップレディ,アドマイヤボス,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ベガ,トニービン,カンパラ
,,,,Severn Bridge
,,,アンティックヴァリュー,Northern Dancer
,,,,Moonscape
,タガノシャーディ,シャーディー,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Unfurled,Hoist the Flag
,,,,Lemon Souffle
,,インバレル,Slew o' Gold,Seattle Slew
,,,,Alluvial
,,,Prospector's Fire,Mr. Prospector
,,,,Native Street
