アンライバルド,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,バレークイーン,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Sun Princess,イングリッシュプリンス,Petingo
,,,,English Miss
,,,Sunny Valley,Val de Loir
,,,,Sunland
ステキナポケット,ジャングルポケット,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ダンスチャーマー,Nureyev,Northern Dancer
,,,,Special
,,,Skillful Joy,Nodouble
,,,,Skillful Miss
,マーゴーン,Dayjur,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Gold Beauty,Mr. Prospector
,,,,Stick to Beauty
,,Whispered Secret,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Classy'n Smart,Smarten
,,,,No Class
