ディープインパクト,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
ジェニサ,Storm Cat,Storm Bird,Northern Dancer,Nearctic
,,,,Natalma
,,,South Ocean,New Providence
,,,,Shining Sun
,,Terlingua,Secretariat,Bold Ruler
,,,,Somethingroyal
,,,Crimson Saint,Crimson Satan
,,,,Bolero Rose
,Tizdubai,Cee's Tizzy,Relaunch,In Reality
,,,,Foggy Note
,,,テイズリー,Lyphard
,,,,Tizna
,,Cee's Song,Seattle Song,Seattle Slew
,,,,Incantation
,,,Lonely Dancer,ナイスダンサー
,,,,Sleep Lonely
