シニスターミニスター,Old Trieste,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Lovlier Linda,Vigors,Grey Dawn
,,,,Relifordie
,,,Linda Summers,Crozier
,,,,Queenly Gift
,Sweet Minister,The Prime Minister,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Stick to Beauty,Illustrious
,,,,Hail to Beauty
,,Sweet Blue,Hurry Up Blue,Mr. Leader
,,,,Blue Baroness
,,,Sugar Gold,Mr. Prospector
,,,,Miss Ironside
リードハイシ,スターオブコジーン,Cozzene,Caro,フォルティノ
,,,,Chambord
,,,Ride the Trails,Prince John
,,,,Wildwook
,,Star Gem,Pia Star,Olympia
,,,,Inquisitive
,,,Soonerland,Fleet Nasrullah
,,,,Hill Indian
,エアカボッション,ジェイドロバリー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Number,Nijinsky
,,,,Special
,,ブリリアントカット,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ジエヌインダイアモンド,Irish Ruler
,,,,Diamonds for Dolly
