フェノーメノ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,ディラローシェ,デインヒル,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Razyana,His Majesty
,,,,Spring Adieu
,,Sea Port,Averof,Sing Sing
,,,,Argentina
,,,Anchor,Major Portion
,,,,Ripeck
ナムラクーガー,Cape Cross,Green Desert,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Foreign Courier,Sir Ivor
,,,,Courtly Dee
,,Park Appeal,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Balidaress,Balidar
,,,,Innocence
,ファリシーク,Rainbow Quest,Blushing Groom,Red God
,,,,Runaway Bride
,,,I Will Follow,Herbager
,,,,Where You Lead
,,Pharaoh's Delight,Fairy King,Northern Dancer
,,,,Fairy Bridge
,,,Ridge the Times,Riva Ridge
,,,,Oath of Allegiance
