ジャスタウェイ,ハーツクライ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,アイリッシュダンス,トニービン,カンパラ
,,,,Severn Bridge
,,,ビューパーダンス,Lyphard
,,,,My Bupers
,シビル,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,シャロン,Mo Exception,Hard Work
,,,,With Exception
,,,Double Wiggle,Sir Wiggle
,,,,Blue Double
ブリリアントレイ,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ブラダマンテ,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Sulemeif,Northern Dancer,Nearctic
,,,,Natalma
,,,Barely Even,Creme dela Creme
,,,,Dodge Me
