トーセンホマレボシ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,エヴリウィスパー,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,クラフテイワイフ,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Wife Mistress,Secretariat
,,,,Political Payoff
ミラクルピッチ,マイネルラヴ,Seeking the Gold,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Con Game,Buckpasser
,,,,Broadway
,,Heart of Joy,リィフォー,Lyphard
,,,,Klaizia
,,,Mythographer,Secretariat
,,,,Arachne
,ラウドヴォイス,Nashwan,Blushing Groom,Red God
,,,,Runaway Bride
,,,Height of Fashion,Bustino
,,,,Highclere
,,Sweetly,Lyphard,Northern Dancer
,,,,Goofed
,,,Sweet and Lovely,Tanerko
,,,,Lilya
