ゴールドシップ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,ポイントフラッグ,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,パストラリズム,プルラリズム,The Minstrel
,,,,Cambretta
,,,トクノエイティー,トライバルチーフ
,,,,アイアンルビー
メイクデュース,トウカイテイオー,シンボリルドルフ,パーソロン,Milesian
,,,,Paleo
,,,スイートルナ,スピードシンボリ
,,,,ダンスタイム
,,トウカイナチュラル,ナイスダンサー,Northern Dancer
,,,,Nice Princess
,,,トウカイミドリ,ファバージ
,,,,トウカイクイン
,セカンドサービス,リズム,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Dance Number,Northern Dancer
,,,,Numbered Account
,,ファーストサービス,Blushing Groom,Red God
,,,,Runaway Bride
,,,Tournament Star,Nijinsky
,,,,Chris Evert
