キズナ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,キャットクイル,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Pacific Princess,Damascus,Sword Dancer
,,,,Kerala
,,,Fiji,Acropolis
,,,,Rififi
ディトナイト,Forest Wildcat,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Victoria Beauty,Bold Native,Raise a Native
,,,,Spring Beauty
,,,Abifaith,Seaneen
,,,,Sherry Jen
,Bay Magic,Ack Ack,Battle Joined,Armageddon
,,,,Ethel Walker
,,,Fast Turn,Turn-to
,,,,Cherokee Rose
,,Lucy Gayheart,Golden Ruler,King of the Tudors
,,,,Fulvous
,,,Dancing Cindy,Nigromante
,,,,Dancing Date
