シングンオペラ,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,タケノハナミ,ハードツービート,ハーディカヌート,ハードリドン
,,,,Harvest Maid
,,,Virtuous,Above Suspicion
,,,,Rose of India
,,ヒカルカマタ,アイアンリージ,Bull Lea
,,,,Iron Maiden
,,,コランディア,Auriban
,,,,Arlanza
カスミダンサー,スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,Sheer Ice,Cutlass,Damascus
,,,,Aphonia
,,,Hey Dolly A.,Ambehaving
,,,,Swift Deal
,ハタノシラユリ,ビワハヤヒデ,シャルード,Caro
,,,,Angel Island
,,,パシフィカス,Northern Dancer
,,,,Pacific Princess
,,リンネスモア,リヴリア,Riverman
,,,,Dahlia
,,,リンネスプレンティ,ヴァイスリーガル
,,,,リンネルンド
