モンテロッソ,Dubawi,Dubai Millennium,Seeking the Gold,Mr. Prospector
,,,,Con Game
,,,Colorado Dancer,Shareef Dancer
,,,,Fall Aspen
,,Zomaradah,Deploy,Shirley Heights
,,,,Slightly Dangerous
,,,Jawaher,ダンシングブレーヴ
,,,,High Tern
,Porto Roca,Barathea,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,Brocade,Habitat
,,,,Canton Silk
,,Antelliere,Salieri,Accipiter
,,,,Hogan's Sister
,,,Anntelle,Loosen Up
,,,,Soft Quest
エムオービューティ,シンボリクリスエス,Kris S.,Roberto,Hail to Reason
,,,,Bramalea
,,,Sharp Queen,Princequillo
,,,,Bridgework
,,Tee Kay,Gold Meridian,Seattle Slew
,,,,Queen Louie
,,,Tri Argo,Tri Jet
,,,,Hail Proudly
,ブルーエンプレス,フジキセキ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ミルレーサー,Le Fabuleux
,,,,Marston's Mill
,,ヤマサンヒノデ,ソーブレスド,Princely Gift
,,,,Lavant
,,,ヤマサンメグミ,ヴェンチア
,,,,ヤマサンカツヒメ
