アグネスデジタル,Crafty Prospector,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Real Crafty Lady,In Reality,Intentionally
,,,,My Dear Girl
,,,Princess Roycraft,Royal Note
,,,,Crafty Princess
,Chancey Squaw,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,Allicance,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Runaway Bride,Wild Risk
,,,,Aimee
ペッシュドール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ゴールデンサッシュ,ディクタス,Sanctus,Fine Top
,,,,Sanelta
,,,Doronic,Worden
,,,,Dulzetta
,,ダイナサッシュ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ロイヤルサッシュ,Princely Gift
,,,,Sash of Honour
