キンシャサノキセキ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ケルトシャーン,Pleasant Colony,His Majesty,Ribot
,,,,Flower Bowl
,,,Sun Colony,Sunrise Flight
,,,,Colonia
,,Featherhill,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Berry,Violon d'Ingres
,,,,Moss Rose
トロピカルスイーツ,フレンチデピュティ,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Mitterand,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Laredo Lass,Bold Ruler
,,,,Fortunate Isle
,プチトマト,トニービン,カンパラ,Kalamoun
,,,,State Pension
,,,Severn Bridge,Hornbeam
,,,,Priddy Fair
,,ピンクトマト,Vanlandingham,Cox's Ridge
,,,,Populi
,,,Cornish Runner,Cornish Prince
,,,,Gunner's Runner
