ノボジャック,フレンチデピュティ,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Mitterand,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Laredo Lass,Bold Ruler
,,,,Fortunate Isle
,フライトオブエンジェルス,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,Intently,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Naughty Intentions,Candy Spots
,,,,Teresa Negro
シャドウリーフ,ヨハネスブルグ,ヘネシー,Storm Cat,Storm Bird
,,,,Terlingua
,,,Island Kitty,Hawaii
,,,,T. C. Kitten
,,Myth,オジジアン,Damascus
,,,,Gonfalon
,,,Yarn,Mr. Prospector
,,,,Narrate
,シャドウファイル,フジキセキ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ミルレーサー,Le Fabuleux
,,,,Marston's Mill
,,パーソナルファイル,Private Account,Damascus
,,,,Numbered Account
,,,ベーシイド,Cool Moon
,,,,Polondra
