スマートファルコン,ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ニキーヤ,Nureyev,Northern Dancer
,,,,Special
,,,Reluctant Guest,Hostage
,,,,Vaguely Royal
,ケイシュウハーブ,ミシシッピアン,Vaguely Noble,ヴィエナ
,,,,Noble Lassie
,,,Gazala,Dark Star
,,,,Belle Angevine
,,キョウエイシラユキ,クラウンドプリンス,Raise a Native
,,,,Gay Hostess
,,,アリアーン,シルバーシャーク
,,,,Nucciolina
チャームペンダント,ボストンハーバー,Capote,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Too Bald,Bald Eagle
,,,,Hidden Talent
,,Harbor Springs,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Tinnitus,Restless Wind
,,,,Dors
,ダイヤモンドピアス,サクラユタカオー,テスコボーイ,Princely Gift
,,,,Suncourt
,,,アンジェリカ,ネヴァービート
,,,,スターハイネス
,,タマモダイヤモンド,ミルジョージ,Mill Reef
,,,,Miss Charisma
,,,タマモコトブキ,クロケット
,,,,グランドアロー
