パイロ,Pulpit,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Preach,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Narrate,Honest Pleasure
,,,,State
,Wild Vision,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,Carol's Wonder,Pass the Tab,Al Hattab
,,,,Dantina
,,,Carols Christmas,Whitesburg
,,,,Light Verse
ビーキュート,マヤノトップガン,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,アルプミープリーズ,Blushing Groom,Red God
,,,,Runaway Bride
,,,Swiss,Vaguely Noble
,,,,Gala Host
,ビーサイレント,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,グローバルダイナ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,グローブターフ,パーソロン
,,,,ロイヤルアグリーメント
