ヘニーヒューズ,ヘネシー,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Island Kitty,Hawaii,Utrillo
,,,,Ethane
,,,T. C. Kitten,Tom Cat
,,,,Needlebug
,Meadow Flyer,Meadowlake,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Suspicious Native,Raise a Native
,,,,Be Suspicious
,,Shortley,Hagley,Olden Times
,,,,Teo Pepi
,,,Short Winded,Harvest Singing
,,,,Wild Cloud
キタサンプリンセス,エンパイアメーカー,Unbridled,Fappiano,Mr. Prospector
,,,,Killaloe
,,,Gana Facil,Le Fabuleux
,,,,Charedi
,,Toussaud,El Gran Senor,Northern Dancer
,,,,Sex Appeal
,,,Image of Reality,In Reality
,,,,Edee's Image
,キタサンオウシャン,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Kitasan Dream,Alzao,Lyphard
,,,,Lady Rebecca
,,,Better Fantasy,Better Boy
,,,,Pure Fantasy
