マジンプロスパー,アドマイヤコジーン,Cozzene,Caro,フォルティノ
,,,,Chambord
,,,Ride the Trails,Prince John
,,,,Wildwook
,,アドマイヤマカディ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ミセスマカディー,トライバルチーフ
,,,,Hanina
,ハリウッドドリーム,バブルガムフェロー,サンデーサイレンス,Halo
,,,,Wishing Well
,,,バブルカンパニー,Lyphard
,,,,Prodice
,,オリンピアデュカキス,Isopach,Reviewer
,,,,Klepto
,,,Jaana,Cure the Blues
,,,,Stradavari
カアチャンコワイ,クロフネ,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,ブルーアヴェニュー,Classic Go Go,Pago Pago
,,,,Classic Perfection
,,,Eliza Blue,Icecapade
,,,,コレラ
,フレンドリーマナー,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,フレンドリービューティ,Stalwart,Hoist the Flag
,,,,Yes Dear Maggy
,,,Fredaq,Raise a Native
,,,,Smart Steppin
