ブラックタイド,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
イージーウィン,Invincible Spirit,Green Desert,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Foreign Courier,Sir Ivor
,,,,Courtly Dee
,,Rafha,Kris,Sharpen Up
,,,,Doubly Sure
,,,Eljazzi,アーテイアス
,,,,Border Bounty
,Malyana,Mtoto,Busted,Crepello
,,,,Sans le Sou
,,,Amazer,ミンシオ
,,,,Alzara
,,Pass the Peace,Alzao,Lyphard
,,,,Lady Rebecca
,,,Lover's Rose,King Emperor
,,,,Nonnie
