ワークフォース,キングズベスト,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Allegretta,Lombard,Agio
,,,,Promised Lady
,,,Anatevka,Espresso
,,,,Almyra
,Soviet Moon,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Eva Luna,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Media Luna,Star Appeal
,,,,Sounion
オープンアップ,タヤスツヨシ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,マガロ,Caro,フォルティノ
,,,,Chambord
,,,Magic,Buckpasser
,,,,Aspidistra
,タッチオブゴールド,ヘクタープロテクター,Woodman,Mr. Prospector
,,,,プレイメイト
,,,Korveya,Riverman
,,,,Konafa
,,ダイナタッチ,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ラドンザ,Globemaster
,,,,アンカリア
