ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ニキーヤ,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Reluctant Guest,Hostage,Nijinsky
,,,,Entente
,,,Vaguely Royal,Vaguely Noble
,,,,Shoshanna
トーホウドルチェ,サウスヴィグラス,エンドスウィープ,フォーティナイナー,Mr. Prospector
,,,,File
,,,Broom Dance,Dance Spell
,,,,Witching Hour
,,ダーケストスター,Star de Naskra,Naskra
,,,,Candle Star
,,,Minnie Riperton,Cornish Prince
,,,,English Harbor
,トーホウウインド,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,テルノビクトリ,Junction,Never Bend
,,,,Peaceful Union
,,,Nefarius Gal,ヴァイスリーガル
,,,,Flora Rica
