エスケンデレヤ,Giant's Causeway,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Mariah's Storm,Rahy,Blushing Groom
,,,,Glorious Song
,,,イメンス,Roberto
,,,,Imsodear
,Aldebaran Light,Seattle Slew,Bold Reasoning,Boldnesian
,,,,Reason to Earn
,,,My Charmer,Poker
,,,,Fair Charmer
,,Altair,Alydar,Raise a Native
,,,,Sweet Tooth
,,,ステラーオデッセイ,Northern Dancer
,,,,Queen Sucree
ベストミニオン,シニスターミニスター,Old Trieste,A.P. Indy,Seattle Slew
,,,,Weekend Surprise
,,,Lovlier Linda,Vigors
,,,,Linda Summers
,,Sweet Minister,The Prime Minister,Deputy Minister
,,,,Stick to Beauty
,,,Sweet Blue,Hurry Up Blue
,,,,Sugar Gold
,ベストタッセルド,キングズベスト,Kingmambo,Mr. Prospector
,,,,Miesque
,,,Allegretta,Lombard
,,,,Anatevka
,,Tasseled,Tate Gallery,Northern Dancer
,,,,Fairy Bridge
,,,Push a Button,Bold Lad
,,,,River Lady
