アグネスデジタル,Crafty Prospector,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Real Crafty Lady,In Reality,Intentionally
,,,,My Dear Girl
,,,Princess Roycraft,Royal Note
,,,,Crafty Princess
,Chancey Squaw,Chief's Crown,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Six Crowns,Secretariat
,,,,Chris Evert
,,Allicance,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Runaway Bride,Wild Risk
,,,,Aimee
ドナビジュー,スペシャルウィーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,キャンペンガール,マルゼンスキー,Nijinsky
,,,,シル
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
,ダンジグダンザグ,Danzig,Northern Dancer,Nearctic
,,,,Natalma
,,,Pas de Nom,Admiral's Voyage
,,,,Petitioner
,,Thatsallshewrote,Graustark,Ribot
,,,,Flower Bowl
,,,Dinner Partner,Tom Fool
,,,,Bluehaze
