アッミラーレ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ダジルミージョリエ,Carr de Naskra,Star de Naskra,Naskra
,,,,Candle Star
,,,Cornish Runner,Cornish Prince
,,,,Gunner's Runner
,,Mawgrit,Hoist the Flag,Tom Rolfe
,,,,Wavy Navy
,,,Spring Sunshine,Nashua
,,,,Real Delight
ニシノシャトル,タイキシャトル,Devil's Bag,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,,ウェルシュマフィン,Caerleon,Nijinsky
,,,,Foreseer
,,,Muffitys,Thatch
,,,,Contrail
,マックスエイト,シャンハイ,Procida,Mr. Prospector
,,,,With Distinction
,,,Korveya,Riverman
,,,,Konafa
,,ジャッジムード,ジャッジアンジェルーチ,Honest Pleasure
,,,,Victorian Queen
,,,メルティングムード,リアルシャダイ
,,,,メルドスポート
