アッミラーレ,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ダジルミージョリエ,Carr de Naskra,Star de Naskra,Naskra
,,,,Candle Star
,,,Cornish Runner,Cornish Prince
,,,,Gunner's Runner
,,Mawgrit,Hoist the Flag,Tom Rolfe
,,,,Wavy Navy
,,,Spring Sunshine,Nashua
,,,,Real Delight
ミスホーチミン,フォーティナイナー,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,File,Tom Rolfe,Ribot
,,,,Pocahontas
,,,Continue,Double Jay
,,,,Courtesy
,ミスイロンデル,コマンダーインチーフ,ダンシングブレーヴ,Lyphard
,,,,Navajo Princess
,,,Slightly Dangerous,Roberto
,,,,Where You Lead
,,ミスシャグラ,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Dusty Dollar,Kris
,,,,Sauceboat
