メイショウサムソン,オペラハウス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,Colorspin,High Top,Derring-Do
,,,,Camenae
,,,Reprocolor,Jimmy Reppin
,,,,Blue Queen
,マイヴィヴィアン,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,ウイルプリンセス,サンプリンス,Princely Gift
,,,,Costa Sola
,,,エール,フォルティノ
,,,,ガーネツト
ビエンナーレ,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,フォーカルプレーン,スプレンディドモーメント,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Racquette,Ballymore
,,,,Arctic Melody
,,ダイナフォーカス,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,ヤクモペンダス,ステューペンダス
,,,,ヤクモヒサコ
