クラグオー,クラキングオー,スズカコバン,マルゼンスキー,Nijinsky
,,,,シル
,,,サリュウコバン,ネヴァービート
,,,,モンテホープ
,,クラファストレディ,シングルロマン,ナイスダンサー
,,,,ヒジリジョオー
,,,カネイゼーア,オンワードゼア
,,,,クヰーンカヌート
,クラシャトル,ワカオライデン,ロイヤルスキー,Raja Baba
,,,,Coz o'Nijinsky
,,,オキワカ,リマンド
,,,,ワカクモ
,,クラネバダンサー,ネヴァーダンス,Never Bend
,,,,Exclusive Dancer
,,,ブラックキリー,テッソ
,,,,マツリュウ
トゥバン,アドマイヤドン,ティンバーカントリー,Woodman,Mr. Prospector
,,,,プレイメイト
,,,Fall Aspen,Pretense
,,,,Change Water
,,ベガ,トニービン,カンパラ
,,,,Severn Bridge
,,,アンティックヴァリュー,Northern Dancer
,,,,Moonscape
,ホクトスキャン,スキャン,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Video,Nijinsky
,,,,Foreseer
,,ホクトグリーム,Time for a Change,Damascus
,,,,Resolver
,,,ブラシエット,Blushing Groom
,,,,Coz o'Nijinsky
