キングズベスト,Kingmambo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Miesque,Nureyev,Northern Dancer
,,,,Special
,,,Pasadoble,Prove Out
,,,,Santa Quilla
,Allegretta,Lombard,Agio,Tantieme
,,,,Aralia
,,,Promised Lady,Prince Chevalier
,,,,Belle Sauvage
,,Anatevka,Espresso,Acropolis
,,,,Babylon
,,,Almyra,Birkhahn
,,,,Alameda
ヴィルヌーヴ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,アビラ,ロックオブジブラルタル,デインヒル,Danzig
,,,,Razyana
,,,Offshore Boom,Be My Guest
,,,,Push a Button
,,Animatrice,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Alexandrie,Val de l'Orne
,,,,Apachee
