ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ポインテッドパス,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Silken Way,Shantung,Sicambre
,,,,Barley Corn
,,,Boulevard,Pall Mall
,,,,Costa Sola
モンルージュ,Smart Strike,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,Classy'n Smart,Smarten,Cyane
,,,,Smartaire
,,,No Class,Nodouble
,,,,Classy Quillo
,ソープオペラクイーン,Never Tabled,Never Bend,Nasrullah
,,,,Lalun
,,,Table Flirt,Round Table
,,,,Gigi
,,T. V. Residual,Pirate's Bounty,Hoist the Flag
,,,,Bad Seed
,,,T. V. Caper,T.V. Lark
,,,,Gay Robber
