ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ポインテッドパス,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Silken Way,Shantung,Sicambre
,,,,Barley Corn
,,,Boulevard,Pall Mall
,,,,Costa Sola
ケリーズビューティ,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ビューティークロス,タマモクロス,シービークロス,フォルティノ
,,,,ズイシヨウ
,,,グリーンシャトー,シャトーゲイ
,,,,クインビー
,,ミヤマビューティー,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,ホウヨウクイン,レアリーリーガル
,,,,豊隼
