タイムパラドックス,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ジョリーザザ,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Bold Lady,ボールドラツド,Bold Ruler
,,,,Misty Morn
,,,Tredam,High Treason
,,,,Damasi
フラワーヒメ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ワイルドフラワー,Wild Again,Icecapade,Nearctic
,,,,Shenanigans
,,,Bushel-n-Peck,Khaled
,,,,Dama
,,アリレディー,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Sally's Ride,Inverness Drive
,,,,Black Eyed Lucy
