タニノギムレット,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,タニノクリスタル,クリスタルパレス,Caro,フォルティノ
,,,,Chambord
,,,Hermieres,Sicambre
,,,,Vieille Pierre
,,タニノシーバード,Sea-Bird,Dan Cupid
,,,,Sicalade
,,,Flaxen,Graustark
,,,,Flavia
マヤノソーナ,パントレセレブル,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Peinture Bleue,Alydar,Raise a Native
,,,,Sweet Tooth
,,,Petroleuse,Habitat
,,,,Plencia
,ジゼールペン,Cozzene,Caro,フォルティノ
,,,,Chambord
,,,Ride the Trails,Prince John
,,,,Wildwook
,,Garconniere,ゲイメセン,Vaguely Noble
,,,,Gay Missile
,,,Greedy of Gain,Habitat
,,,,Gently
