タイムパラドックス,ブライアンズタイム,Roberto,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Bramalea,Nashua
,,,,Rarelea
,,Kelley's Day,Graustark,Ribot
,,,,Flower Bowl
,,,Golden Trail,Hasty Road
,,,,Sunny Vale
,ジョリーザザ,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Bold Lady,ボールドラツド,Bold Ruler
,,,,Misty Morn
,,,Tredam,High Treason
,,,,Damasi
フリートゥビー,Conquistador Cielo,Mr. Prospector,Raise a Native,Native Dancer
,,,,Raise You
,,,Gold Digger,Nashua
,,,,Sequence
,,K D Princess,Bold Commander,Bold Ruler
,,,,High Voltage
,,,タミーズターン,Turn-to
,,,,Tammy Twist
,Countess of Poland,Danzig Connection,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Gdynia,Sir Ivor
,,,,Classicist
,,Priceless Countess,Vaguely Noble,ヴィエナ
,,,,Noble Lassie
,,,Priceless Gem,Hail to Reason
,,,,Searching
