アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,マイケイティーズ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ケイティーズファースト,Kris,Sharpen Up
,,,,Doubly Sure
,,,Katies,ノノアルコ
,,,,Mortefontaine
クロタカ,シーキングザダイヤ,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,シーキングザパール,Seeking the Gold,Mr. Prospector
,,,,Con Game
,,,ページプルーフ,Seattle Slew
,,,,バーブスボールド
,ラプンツェル,デヒア,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Sister Dot,Secretariat
,,,,Sword Game
,,ラクリス,Private Account,Damascus
,,,,Numbered Account
,,,Spectacular Joke,Spectacular Bid
,,,,No Joke
