ケープブランコ,Galileo,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,アーバンシー,Miswaki,Mr. Prospector
,,,,Hopespringseternal
,,,Allegretta,Lombard
,,,,Anatevka
,Laurel Delight,Presidium,General Assembly,Secretariat
,,,,Exclusive Dancer
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Foudroyer,アーテイアス,Round Table
,,,,Stylish Pattern
,,,Foudre,Petingo
,,,,Lighted Lamp
バーレーヘッズ,スペシャルウィーク,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,キャンペンガール,マルゼンスキー,Nijinsky
,,,,シル
,,,レディーシラオキ,セントクレスピン
,,,,ミスアシヤガワ
,ヴェスタ,Fortunate Prospect,Northern Prospect,Mr. Prospector
,,,,Sleek Dancer
,,,Fortunate Bid,Lucky Debonair
,,,,Biddy Big
,,Amavalidhope,Valid Appeal,In Reality
,,,,Desert Trial
,,,Amalie,Bold and Brave
,,,,Gentility
