ブラックタキシード,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,オーピーキャット,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,Princess S.,Assagai Jr.,Assagai
,,,,Perverse
,,,Princess Thelma,Princequillo
,,,,Thelma Berger
カワイミチコ,シンボリルドルフ,パーソロン,Milesian,My Babu
,,,,Oatflake
,,,Paleo,Pharis
,,,,Calonice
,,スイートルナ,スピードシンボリ,ロイヤルチャレンヂャー
,,,,スイートイン
,,,ダンスタイム,Palestine
,,,,Samaritaine
,オーロラテルコ,ミスターシービー,トウショウボーイ,テスコボーイ
,,,,ソシアルバターフライ
,,,シービークイン,トピオ
,,,,メイドウ
,,オーロラシロー,シンザン,ヒンドスタン
,,,,ハヤノボリ
,,,ヤノセイラン,タニノムーティエ
,,,,レデイロック
