シビルウォー,ウォーエンブレム,Our Emblem,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Personal Ensign,Private Account
,,,,Grecian Banner
,,Sweetest Lady,Lord at War,General
,,,,Luna de Miel
,,,Sweetest Roman,The Pruner
,,,,I Also
,チケットトゥダンス,Sadler's Wells,Northern Dancer,Nearctic
,,,,Natalma
,,,Fairy Bridge,Bold Reason
,,,,Special
,,River Missy,Riverman,Never Bend
,,,,River Lady
,,,Quilloquick,Graustark
,,,,Quillobelle
ティエッチグレース,Capote,Seattle Slew,Bold Reasoning,Boldnesian
,,,,Reason to Earn
,,,My Charmer,Poker
,,,,Fair Charmer
,,Too Bald,Bald Eagle,Nasrullah
,,,,Siama
,,,Hidden Talent,Dark Star
,,,,Dangerous Dame
,コンファームドダンサー,Green Dancer,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Green Valley,Val de Loir
,,,,Sly Pola
,,Confirm,Proudest Roman,Never Bend
,,,,Roman Song
,,,Spanked,Cornish Prince
,,,,Won't Tell You
