ジョーカプチーノ,マンハッタンカフェ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,サトルチェンジ,Law Society,Alleged
,,,,Bold Bikini
,,,Santa Luciana,Luciano
,,,,Suleika
,ジョープシケ,フサイチコンコルド,Caerleon,Nijinsky
,,,,Foreseer
,,,バレークイーン,Sadler's Wells
,,,,Sun Princess
,,ジョーユーチャリス,トウショウボーイ,テスコボーイ
,,,,ソシアルバターフライ
,,,ジョーバブーン,フォルティノ
,,,,ハードゲイ
ガッテンマリー,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,ファミリアーストーリー,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Reassert,Assert,Be My Guest
,,,,Irish Bird
,,,Martessana,Sir Ivor
,,,,Matriarch
