スウェプトオーヴァーボード,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,Sheer Ice,Cutlass,Damascus,Sword Dancer
,,,,Kerala
,,,Aphonia,Dunce
,,,,Gambetta
,,Hey Dolly A.,Ambehaving,Ambiorix
,,,,Dentifrice
,,,Swift Deal,Native Charger
,,,,Miss Barter
ミエノプリンプリン,ハービンジャー,Dansili,デインヒル,Danzig
,,,,Razyana
,,,Hasili,Kahyasi
,,,,Kerali
,,Penang Pearl,Bering,Arctic Tern
,,,,Beaune
,,,Guapa,Shareef Dancer
,,,,Sauceboat
,クラウンプリンセス,スペシャルウィーク,サンデーサイレンス,Halo
,,,,Wishing Well
,,,キャンペンガール,マルゼンスキー
,,,,レディーシラオキ
,,クラウンピース,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,クラシッククラウン,Mr. Prospector
,,,,Six Crowns
