アドマイヤムーン,エンドスウィープ,フォーティナイナー,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,File,Tom Rolfe
,,,,Continue
,,Broom Dance,Dance Spell,Northern Dancer
,,,,Obeah
,,,Witching Hour,Thinking Cap
,,,,Enchanted Eve
,マイケイティーズ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ケイティーズファースト,Kris,Sharpen Up
,,,,Doubly Sure
,,,Katies,ノノアルコ
,,,,Mortefontaine
エリザベススイート,ティンバーカントリー,Woodman,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,プレイメイト,Buckpasser
,,,,Intriguing
,,Fall Aspen,Pretense,Endeavour
,,,,Imitation
,,,Change Water,Swaps
,,,,Portage
,スイートイブン,イブンベイ,Mill Reef,Never Bend
,,,,Milan Mill
,,,Rosia Bay,High Top
,,,,Ouija
,,スイートイベット,モガミ,Lyphard
,,,,ノーラック
,,,スイートローラン,パーソロン
,,,,スイートサファイア
