ローズキングダム,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ローズバド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ロゼカラー,Shirley Heights,Mill Reef
,,,,Hardiemma
,,,ローザネイ,Lyphard
,,,,Riviere Doree
セトノウインド,ジェネラス,Caerleon,Nijinsky,Northern Dancer
,,,,Flaming Page
,,,Foreseer,Round Table
,,,,Regal Gleam
,,Doff the Derby,Master Derby,ダストコマンダー
,,,,Madam Jerry
,,,Margarethen,Tulyar
,,,,Russ-Marie
,シンウインド,ウエスタンウインド,Gallant Man,Migoli
,,,,Majideh
,,,Wildwook,Sir Gaylord
,,,,Blue Canoe
,,ソロナエビス,タマナー,Sunny Boy
,,,,Tresa
,,,ソロナヒメ,ソロナウェー
,,,,ヴイキユニア
