ノボジャック,フレンチデピュティ,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Mitterand,Hold Your Peace,Speak John
,,,,Blue Moon
,,,Laredo Lass,Bold Ruler
,,,,Fortunate Isle
,フライトオブエンジェルス,アフリート,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Polite Lady,Venetian Jester
,,,,Friendly Ways
,,Intently,Drone,Sir Gaylord
,,,,Cap and Bells
,,,Naughty Intentions,Candy Spots
,,,,Teresa Negro
デルマオコマ,ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ニキーヤ,Nureyev,Northern Dancer
,,,,Special
,,,Reluctant Guest,Hostage
,,,,Vaguely Royal
,カウガールズドントクライ,Pure Prize,Storm Cat,Storm Bird
,,,,Terlingua
,,,Heavenly Prize,Seeking the Gold
,,,,Oh What a Dance
,,Emphatic Style,Crafty Prospector,Mr. Prospector
,,,,Real Crafty Lady
,,,Pebble Patter,Rock Talk
,,,,Lady Amherst
