ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ポインテッドパス,Kris,Sharpen Up,エタン
,,,,Rocchetta
,,,Doubly Sure,Reliance
,,,,Soft Angels
,,Silken Way,Shantung,Sicambre
,,,,Barley Corn
,,,Boulevard,Pall Mall
,,,,Costa Sola
アスターヒューモア,More Than Ready,サザンヘイロー,Halo,Hail to Reason
,,,,Cosmah
,,,Northern Sea,Northern Dancer
,,,,Sea Saga
,,Woodman's Girl,Woodman,Mr. Prospector
,,,,プレイメイト
,,,Becky Be Good,Naskra
,,,,Good Landing
,Saratoga Humor,Distorted Humor,フォーティナイナー,Mr. Prospector
,,,,File
,,,Danzig's Beauty,Danzig
,,,,Sweetest Chant
,,Saratoga Ack,Saratoga Six,Alydar
,,,,Priceless Fame
,,,Fleeting Ack,Ack Ack
,,,,Fleeting North
