カジノドライヴ,Mineshaft,A.P. Indy,Seattle Slew,Bold Reasoning
,,,,My Charmer
,,,Weekend Surprise,Secretariat
,,,,Lassie Dear
,,Prospectors Delite,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Up the Flagpole,Hoist the Flag
,,,,The Garden Club
,Better Than Honour,Deputy Minister,Vice Regent,Northern Dancer
,,,,Victoria Regina
,,,Mint Copy,Bunty's Flight
,,,,Shakney
,,Blush With Pride,Blushing Groom,Red God
,,,,Runaway Bride
,,,Best in Show,Traffic Judge
,,,,Stolen Hour
セトノミッシー,ゴールドアリュール,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ニキーヤ,Nureyev,Northern Dancer
,,,,Special
,,,Reluctant Guest,Hostage
,,,,Vaguely Royal
,フレンチミステリー,フレンチデピュティ,Deputy Minister,Vice Regent
,,,,Mint Copy
,,,Mitterand,Hold Your Peace
,,,,Laredo Lass
,,ミスティックアイズ,Eastern Echo,Damascus
,,,,Wild Applause
,,,スキム,Nijinsky
,,,,Pass a Glance
