ダイワメジャー,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,スカーレットブーケ,ノーザンテースト,Northern Dancer,Nearctic
,,,,Natalma
,,,Lady Victoria,Victoria Park
,,,,Lady Angela
,,スカーレットインク,Crimson Satan,Spy Song
,,,,Papila
,,,Consentida,Beau Max
,,,,La Menina
ジルコニア,タイキシャトル,Devil's Bag,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,,ウェルシュマフィン,Caerleon,Nijinsky
,,,,Foreseer
,,,Muffitys,Thatch
,,,,Contrail
,スパイシークラウン,タバスコキャット,Storm Cat,Storm Bird
,,,,Terlingua
,,,Barbicue Sauce,Sauce Boat
,,,,Lady Barbizon
,,ウエストバイノースウエスト,Gone West,Mr. Prospector
,,,,Secrettame
,,,Star in the North,Northern Dancer
,,,,Lighted Lamp
