ダノンシャンティ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,シャンソネット,Mark of Esteem,Darshaan,Shirley Heights
,,,,Delsy
,,,Homage,Ajdal
,,,,Home Love
,,Glorious Song,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
フセノブルース,ストラヴィンスキー,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Fire the Groom,Blushing Groom,Red God
,,,,Runaway Bride
,,,Prospector's Fire,Mr. Prospector
,,,,Native Street
,ピースオブフリー,ウォーニング,Known Fact,In Reality
,,,,Tamerett
,,,Slightly Dangerous,Roberto
,,,,Where You Lead
,,ビベ,Nureyev,Northern Dancer
,,,,Special
,,,ビバレジナ,His Majesty
,,,,Second the Motion
