ハタノヴァンクール,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,ハタノプリエ,ブライアンズタイム,Roberto,Hail to Reason
,,,,Bramalea
,,,Kelley's Day,Graustark
,,,,Golden Trail
,,ハヤベニコマチ,サンデーサイレンス,Halo
,,,,Wishing Well
,,,ターンツーダイナ,ノーザンテースト
,,,,ナイスランディング
ステイハッピー,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,スプレッドスマイル,Bianconi,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Fall Aspen,Pretense
,,,,Change Water
,,Horah,ミシエロ,Conquistador Cielo
,,,,My Inheritance
,,,Dance Or Prance,Bold Reasoning
,,,,Make Or Break
