キンシャサノキセキ,フジキセキ,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ミルレーサー,Le Fabuleux,Wild Risk
,,,,Anguar
,,,Marston's Mill,In Reality
,,,,Millicent
,ケルトシャーン,Pleasant Colony,His Majesty,Ribot
,,,,Flower Bowl
,,,Sun Colony,Sunrise Flight
,,,,Colonia
,,Featherhill,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Berry,Violon d'Ingres
,,,,Moss Rose
ヌレエフクイン,ストラヴィンスキー,Nureyev,Northern Dancer,Nearctic
,,,,Natalma
,,,Special,Forli
,,,,Thong
,,Fire the Groom,Blushing Groom,Red God
,,,,Runaway Bride
,,,Prospector's Fire,Mr. Prospector
,,,,Native Street
,サンセットムーン,キャロルハウス,Lord Gayle,Sir Gaylord
,,,,Sticky Case
,,,Tuna,シルバーシャーク
,,,,Vimelette
,,ダイナセレナード,エルセンタウロ,Sideral
,,,,Planetaria
,,,フリソデ,Noholme
,,,,Mr. B's Sister
