ロードカナロア,キングカメハメハ,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,マンファス,ラストタイクーン,トライマイベスト
,,,,Mill Princess
,,,Pilot Bird,Blakeney
,,,,The Dancer
,レディブラッサム,Storm Cat,Storm Bird,Northern Dancer
,,,,South Ocean
,,,Terlingua,Secretariat
,,,,Crimson Saint
,,サラトガデュー,Cormorant,His Majesty
,,,,Song Sparrow
,,,Super Luna,In Reality
,,,,Alada
サトノエカテリーナ,ディープインパクト,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ウインドインハーヘア,Alzao,Lyphard
,,,,Lady Rebecca
,,,Burghclere,Busted
,,,,Highclere
,ロンドンブリッジ,ドクターデヴィアス,Ahonoora,Lorenzaccio
,,,,Helen Nichols
,,,Rose of Jericho,Alleged
,,,,Rose Red
,,オールフォーロンドン,Danzig,Northern Dancer
,,,,Pas de Nom
,,,Full Card,Damascus
,,,,Belle of the Ball
